user_id,platform,grade,subject,goal,first_question_type,first_question_text,socrat_response_length,socrat_questions_count,total_messages,dialogue_resolved,problem_category,problem_subcategory,comment,first_question_timestamp,last_message_timestamp
75e6b0e8-57fa-4738-88a7-99efc101a347,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (плитка)",long,1,6,false,B,B2,"Диалог застрял на объяснениях, пользователь не получил конкретного решения за 6 сообщений",2025-12-24 12:42:17,2025-12-24 12:43:17
94619194-c23e-4a8b-bc98-62dc390af629,telegram,9,math,oge,concept_explanation,"Дискриминант там формула другая",medium,1,10,false,C,C1,"Явно запросил 'Дай ответ' после нескольких вопросов Сократа, диалог оборвался",2025-12-24 05:39:45,2025-12-24 06:19:42
199c18ea-5077-406f-9f20-d2436d971a31,telegram,11,cs,ege,test_system,"Кто лучше пьет пиво? Петя или Ваня",long,1,2,true,D,D2,"Тестирование системы нерелевантным вопросом, получил корректный отказ",2025-12-23 15:40:59,2025-12-23 15:41:04
81d8ada4-8aca-4dcb-b005-4ce63e08b012,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (модуль графика)",long,1,16,false,C,C1,"Многократно просил 'Реши номер 22', Сократ продолжал задавать вопросы вместо решения",2025-12-23 09:46:24,2025-12-23 14:38:22
6b3d9265-d2f6-4d43-ac3a-2b4ec6860446,telegram,10,math,school,homework_help,"Плоский четырехугольник ABCD (стереометрия)",medium,2,10,false,B,B2,"Длинный диалог без итогового решения, пользователь застрял на плане",2025-12-23 03:22:16,2025-12-23 03:26:45
721c8de2-e3dc-40af-81f7-358bdb5166e7,web,11,math,school,homework_help,"Дана функция y=1/x. Постройте график",medium,1,12,false,B,B2,"Пользователь повторял один и тот же вопрос, система не поняла потребность",2025-12-23 02:54:59,2025-12-23 03:02:11
563d901e-eb23-4f8c-beb7-471a4198b170,telegram,10,math,school,homework_help,"Помоги решить эту задачу (система уравнений)",medium,1,4,false,C,C3,"После 2 сообщений диалог оборвался - пользователь не вернулся к вопросам",2025-12-23 01:38:42,2025-12-23 01:39:18
48e2a951-e259-4e0e-b7ab-2215a4e97265,telegram,11,math,ege,homework_help,"Три торговые сети (задача на вероятность)",long,2,6,false,C,C3,"Пользователь следовал плану, но не дошел до ответа, перестал отвечать",2025-12-22 18:44:04,2025-12-22 18:45:15
6a454af5-dcbf-496b-aa69-69d5812f215f,telegram,10,math,ege,homework_help,"Даны параллельные плоскости (геометрия)",long,2,8,false,B,B2,"Пользователь запрашивал план 3 раза, система повторяла одно и то же",2025-12-22 15:19:06,2025-12-22 15:22:11
41f0cfdb-f237-4dd3-947e-b319a7defd25,telegram,10,math,school,homework_help,"Из точки E проведены наклонные (стереометрия)",long,2,6,false,C,C3,"Диалог оборвался после объяснения, пользователь не вернулся",2025-12-21 05:56:34,2025-12-21 05:57:45
8f79b1d8-89c4-40f5-b19c-7c8b7c89e512,telegram,9,math,oge,homework_help,"Помоги решить эту задачу (система уравнений)",medium,1,10,false,C,C1,"Запрашивал план решения многократно, не получил конкретного ответа",2025-12-20 16:32:42,2025-12-20 16:48:08
a3e8d063-a9de-4f86-8f2d-05b2020175c2,telegram,11,math,school,homework_help,"Помоги решить эту задачу (куб геометрия)",long,2,6,false,B,B2,"Диалог оборвался на объяснении шагов, пользователь не завершил решение",2025-12-20 03:29:39,2025-12-20 03:31:13
