"ID (например kin.01, mkt.03)",Экзамен (ЕГЭ / ОГЭ / ЕГЭ+ОГЭ),Раздел,Тема,Подтема,Название формулы,Подсказка для сборки,Формула (LaTeX),Формула (текст),Переменные (символ — название — единица),Физический смысл (для блока «Как рассуждать»),Зависимости (прямая / обратная),Размерности,Откуда выводится,Когда применять (Layer 1 — ситуации),Частые ошибки / ловушки,Связанные формулы (ID через запятую — для дистракторов),Сложность (1 / 2 / 3),Мутации Layer 3 (тип; неверный LaTeX; подсказка),Рецепт сборки (числитель | знаменатель),Источник (sokrat / egor / elena),Автор,Ревью,Статус (draft / review / ready),Комментарии
kin.01,ЕГЭ+ОГЭ,Механика,Кинематика,Равномерное движение,Перемещение при равномерном движении,Перемещение при постоянной скорости,s = v \cdot t,s = v * t,"s — перемещение (м)
v — скорость (м/с)
t — время (с)","Перемещение равно скорости, умноженной на время. Чем быстрее движешься и чем дольше — тем дальше уедешь.","прямая: v → s, t → s",[L] = [L/T] * [T],Определение скорости: v = s/t,"• Тело движется с постоянной скоростью
• Нет ускорения
• Дано: скорость и время, найти перемещение
• Горизонтальная составляющая движения тела, брошенного горизонтально","• Путают перемещение s и путь L (перемещение — вектор, путь — скаляр)
• Забывают перевести км/ч в м/с (делить на 3.6)","kin.02, kin.03",1,"swap_variable; s = a \cdot t; Перемещение связано со скоростью, а не с ускорением напрямую.
wrong_power; s = v \cdot t^2; При равномерном движении время входит линейно, без квадрата.","numerator: v, t | denominator: ",sokrat,,,ready,
kin.02,ЕГЭ+ОГЭ,Механика,Кинематика,Средняя скорость,Средняя скорость,Средняя скорость за всё время движения,v_{ср} = \frac{s_{общ}}{t_{общ}},v_ср = s_общ / t_общ,"v_ср — средняя скорость (м/с)
s_общ — общий путь (м)
t_общ — общее время (с)","Средняя скорость — это весь пройденный путь, делённый на всё затраченное время. НЕ среднее арифметическое скоростей!","прямая: s_общ → v_ср
обратная: t_общ → v_ср",[L/T] = [L] / [T],Определение средней скорости,"• Тело двигалось с разными скоростями на разных участках
• Нужно найти среднюю скорость за весь путь
• ВАЖНО: средняя скорость ≠ (v1+v2)/2","• Считают среднюю скорость как среднее арифметическое: (v1+v2)/2 — это НЕВЕРНО в общем случае
• Путают среднюю скорость пути и среднюю скорость перемещения",kin.01,2,"swap_fraction; v_{\text{ср}} = \frac{t_{\text{общ}}}{s_{\text{общ}}}; Средняя скорость считается как путь, делённый на время, а не наоборот.",numerator: s_{\text{общ}} | denominator: t_{\text{общ}},sokrat,,,ready,
kin.03,ЕГЭ+ОГЭ,Механика,Кинематика,Равноускоренное движение,Скорость при равноускоренном движении,Скорость при равноускоренном движении,v = v_0 + a \cdot t,v = v₀ + a * t,"v — конечная скорость (м/с)
v_0 — начальная скорость (м/с)
a — ускорение (м/с²)
t — время (с)","Скорость в данный момент = начальная скорость + то, что «набежало» за счёт ускорения за время t.","прямая: a → v, t → v",[L/T] = [L/T] + [L/T²] * [T],Определение ускорения: a = (v - v₀) / t,"• Тело разгоняется или тормозит
• Дано: начальная скорость, ускорение, время
• Нужно найти скорость в момент t
• Торможение: a < 0 (или направлено против скорости)","• Забывают знак ускорения при торможении (a должно быть отрицательным)
• Путают v₀ = 0 (старт с места) и v = 0 (остановка)","kin.04, kin.05, kin.06",1,"wrong_power; v = v_0 + a \cdot t^2; В формуле скорости при равноускоренном движении время не возводится в квадрат.
swap_variable; v = v_0 + g \cdot t; Здесь нужен общий символ ускорения a, а не частный случай g.","numerator: v_0, a, t | denominator: ",sokrat,,,ready,
kin.04,ЕГЭ+ОГЭ,Механика,Кинематика,Равноускоренное движение,Перемещение при равноускоренном движении,Перемещение при равноускоренном движении с начальной скоростью,s = v_0 t + \frac{a t^2}{2},s = v₀t + at²/2,"s — перемещение (м)
v_0 — начальная скорость (м/с)
a — ускорение (м/с²)
t — время (с)","Перемещение складывается из двух частей: то, что тело прошло бы с начальной скоростью (v₀t), плюс добавка от ускорения (at²/2).","прямая: v_0 → s, a → s, t² → s",[L] = [L/T]*[T] + [L/T²]*[T²],Интегрирование v(t) = v₀ + at по времени,"• Тело движется с ускорением
• Дано: v₀, a, t — найти перемещение
• Свободное падение: $a = g$, $v_0 = 0$ → $s = \frac{g t^2}{2}$
• Тело брошено вверх: $v_0$ вверх, $a = -g$","• Забывают делить at² на 2
• Путают перемещение и координату: x = x₀ + v₀t + at²/2
• При свободном падении забывают, что a = g ≈ 9.8 м/с²","kin.03, kin.05, kin.06",1,"drop_coefficient; s = v_0 t + a t^2; У разгонного вклада обязательно есть делитель 2.
wrong_power; s = v_0 t + \frac{a t}{2}; Добавка от ускорения зависит от квадрата времени, а не от t.","numerator: v_0, t, a, t^2 | denominator: 2",sokrat,,,ready,
kin.05,ЕГЭ,Механика,Кинематика,Равноускоренное движение,Перемещение через среднюю скорость,Перемещение через среднюю скорость,s = \frac{v + v_0}{2} \cdot t,s = (v + v₀) / 2 * t,"s — перемещение (м)
v — конечная скорость (м/с)
v_0 — начальная скорость (м/с)
t — время (с)",При равноускоренном движении средняя скорость = полусумма начальной и конечной. Перемещение = средняя скорость × время.,"прямая: v → s, v_0 → s, t → s",[L] = [L/T] * [T],Следствие из kin.03 и kin.04,"• Известны начальная и конечная скорости + время
• Нет ускорения в данных, но есть обе скорости",• Применяют (v+v₀)/2 для НЕравноускоренного движения — это работает ТОЛЬКО при постоянном ускорении,"kin.03, kin.04, kin.06",2,"drop_coefficient; s = (v + v_0) \cdot t; Средняя скорость здесь равна полусумме скоростей, поэтому деление на 2 обязательно.","numerator: v, v_0, t | denominator: 2",sokrat,,,ready,
kin.06,ЕГЭ,Механика,Кинематика,Равноускоренное движение,Формула без времени,"Связь скорости, ускорения и пути без времени",v^2 = v_0^2 + 2as,v² = v₀² + 2as,"v — конечная скорость (м/с)
v_0 — начальная скорость (м/с)
a — ускорение (м/с²)
s — перемещение (м)","Связывает скорости, ускорение и перемещение БЕЗ времени. Квадрат скорости меняется на 2as за перемещение s.","прямая: a → v², s → v²",[L²/T²] = [L²/T²] + [L/T²]*[L],Выводится из kin.03 и kin.04 путём исключения t,"• В задаче НЕТ времени!
• Дано: скорости и ускорение — найти перемещение
• Дано: скорости и перемещение — найти ускорение
• Тормозной путь автомобиля ($v = 0$, найти $s$)
• Свободное падение с высоты $h$: $v^2 = 2gh$","• Самая 'забываемая' формула кинематики — ученики не знают что она существует
• Пытаются решить задачу через систему двух уравнений вместо одной формулы
• Забывают множитель 2 перед as","kin.03, kin.04",2,"drop_coefficient; v^2 = v_0^2 + as; В формуле без времени перед as обязательно стоит множитель 2.
wrong_power; v = v_0^2 + 2as; Связь без времени работает через квадрат скорости.","numerator: v_0^2, 2, a, s | denominator: ",sokrat,,,ready,
kin.07,ЕГЭ+ОГЭ,Механика,Кинематика,Свободное падение,Высота свободного падения,Высота при свободном падении из покоя,h = \frac{g t^2}{2},h = gt²/2,"h — высота падения (м)
g — ускорение свободного падения (м/с²)
t — время падения (с)",Частный случай перемещения при равноускоренном движении с нулевой начальной скоростью и a = g. Тело падает с нарастающей скоростью.,"прямая: g → h, t² → h",[L] = [L/T²] * [T²],"kin.04 при v₀ = 0, a = g","• Тело падает с высоты без начальной скорости
• Дано: время падения — найти высоту
• Дано: высота — найти время падения","• Забывают делить на 2
• Путают g = 9.8 м/с² и g = 10 м/с² (на ЕГЭ обычно g = 10)","kin.04, kin.08",1,"drop_coefficient; h = g t^2; При свободном падении без начальной скорости сохраняется деление на 2.
wrong_power; h = \frac{g t}{2}; Высота падения растёт как t^2, а не линейно по времени.","numerator: g, t^2 | denominator: 2",sokrat,,,ready,
kin.08,ЕГЭ+ОГЭ,Механика,Кинематика,Свободное падение,Скорость при свободном падении,Скорость при свободном падении из покоя,v = g \cdot t,v = g * t,"v — скорость (м/с)
g — ускорение свободного падения (м/с²)
t — время падения (с)",Частный случай равноускоренного движения при v₀ = 0. Скорость растёт линейно с временем.,"прямая: g → v, t → v",[L/T] = [L/T²] * [T],"kin.03 при v₀ = 0, a = g","• Свободное падение без начальной скорости
• Найти скорость в момент t при падении","• Применяют для тела, брошенного вверх — там v₀ ≠ 0","kin.03, kin.07",1,"swap_variable; v = g \cdot h; Скорость свободного падения зависит от времени, а не от высоты напрямую.
wrong_power; v = g \cdot t^2; Скорость при свободном падении растёт линейно по времени.","numerator: g, t | denominator: ",sokrat,,,ready,
kin.09,ЕГЭ,Механика,Кинематика,Движение по окружности,Линейная скорость при движении по окружности,Линейная скорость при равномерном вращении,v = \frac{2 \pi R}{T},v = 2πR / T,"v — линейная скорость (м/с)
R — радиус окружности (м)
T — период обращения (с)",За один оборот (период T) тело проходит длину окружности 2πR. Скорость = путь/время.,"прямая: R → v
обратная: T → v",[L/T] = [L] / [T],Определение: v = длина_окружности / период,"• Тело движется по окружности
• Известен радиус и период (или частота)
• Спутники, карусели, колёса","• Путают период T (время одного оборота) и частоту ν (число оборотов в секунду)
• Забывают 2π","kin.10, kin.11, kin.12",2,"swap_fraction; v = \frac{T}{2 \pi R}; Линейная скорость при движении по окружности равна длине окружности, делённой на период.
drop_coefficient; v = \frac{R}{T}; За один оборот тело проходит 2πR, поэтому 2π нельзя терять.","numerator: 2\pi, R | denominator: T",sokrat,,,ready,
kin.10,ЕГЭ,Механика,Кинематика,Движение по окружности,Связь периода и частоты,Связь периода и частоты вращения,T = \frac{1}{\nu},T = 1 / ν,"T — период (с)
ν — частота (Гц (1/с))","Период и частота — обратные величины. Если за секунду 5 оборотов (ν=5), то один оборот занимает 1/5 секунды (T=0.2).",обратная: ν → T,[T] = 1 / [1/T],Определение,"• Нужно перевести частоту в период или наоборот
• Дана частота вращения, а в формуле нужен период",• Путают T и ν местами: T = ν (неверно!),kin.09,1,swap_fraction; T = \nu; Период и частота обратны друг другу.,numerator: 1 | denominator: \nu,sokrat,,,ready,
